model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_unsecured_credit__forward_guidance__land_precip_shock,corporate_unsecured_credit,forward_guidance,land_precip_shock,0,land_precip_shock,0.0030312279973590157,0.004142726190103205,0.7316988519783154,0.4681459328629656
corporate_unsecured_credit__forward_guidance__land_precip_shock,corporate_unsecured_credit,forward_guidance,land_precip_shock,0,forward_guidance_land_precip_shock_resid,8.507668241808618e-4,0.001961731905448335,0.43368149430511865,0.6665918022199877
corporate_unsecured_credit__forward_guidance__land_precip_shock,corporate_unsecured_credit,forward_guidance,land_precip_shock,0,"l(corporate_unsecured_credit, 1)",0.15858714331150883,0.08440836873970971,1.8788082944778188,0.06675742648074069
corporate_unsecured_credit__forward_guidance__land_precip_shock,corporate_unsecured_credit,forward_guidance,land_precip_shock,0,"l(corporate_unsecured_credit, 2)",-0.2145616438233536,0.08031336537715916,-2.671555883827702,0.010474002726926801
corporate_unsecured_credit__forward_guidance__land_precip_shock,corporate_unsecured_credit,forward_guidance,land_precip_shock,0,"l(land_precip_shock, 1)",-0.005059012978821001,0.0033754130656049822,-1.4987833727290094,0.1409128940672252
corporate_unsecured_credit__forward_guidance__land_precip_shock,corporate_unsecured_credit,forward_guidance,land_precip_shock,0,"l(land_precip_shock, 2)",0.001361753163050172,0.007441131992309558,0.18300349522862244,0.8556173130206546
corporate_unsecured_credit__forward_guidance__land_precip_shock,corporate_unsecured_credit,forward_guidance,land_precip_shock,0,"l(forward_guidance_land_precip_shock_resid, 1)",-0.0014811082078978917,7.174458511931305e-4,-2.0644181096521383,0.044770548978636034
corporate_unsecured_credit__forward_guidance__land_precip_shock,corporate_unsecured_credit,forward_guidance,land_precip_shock,0,"l(forward_guidance_land_precip_shock_resid, 2)",-0.002940809766203031,8.076998484252826e-4,-3.6409685750672454,6.985079732098734e-4
corporate_unsecured_credit__forward_guidance__land_precip_shock,corporate_unsecured_credit,forward_guidance,land_precip_shock,0,as.numeric(date),1.863599866212094e-5,8.166517248770179e-6,2.2820007714950203,0.027269493558018144
corporate_unsecured_credit__forward_guidance__land_precip_shock,corporate_unsecured_credit,forward_guidance,land_precip_shock,0,land_precip_shock:forward_guidance_land_precip_shock_resid,-7.613947081551517e-4,5.503443008398608e-4,-1.3834879492586993,0.17334051064119677
corporate_unsecured_credit__forward_guidance__land_precip_shock,corporate_unsecured_credit,forward_guidance,land_precip_shock,1,land_precip_shock,-9.003133495198879e-4,0.005104760207915825,-0.17636741254247248,0.8607966513608823
corporate_unsecured_credit__forward_guidance__land_precip_shock,corporate_unsecured_credit,forward_guidance,land_precip_shock,1,forward_guidance_land_precip_shock_resid,-2.146135138189023e-5,0.003399539845648289,-0.006313016571746512,0.9949908793374896
corporate_unsecured_credit__forward_guidance__land_precip_shock,corporate_unsecured_credit,forward_guidance,land_precip_shock,1,"l(corporate_unsecured_credit, 1)",0.18118346282333303,0.10437832767736731,1.7358341224183038,0.08943671411888811
