model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,0,pop_precip_shock,0.001554363950044772,0.0013978441020340911,1.1119723206492906,0.2716885479581399
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,0,miyajima_surprise_pop_precip_shock_resid,0.03781269973612633,0.007891681393133952,4.791463042213634,1.633829948879323e-5
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,0,"l(corporate_unsecured_credit, 1)",0.020007204203627317,0.08555208989580117,0.2338599118735176,0.8160883089793025
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,0,"l(corporate_unsecured_credit, 2)",-0.055545707290402854,0.0875266904215335,-0.6346145047058398,0.5286932082982845
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,0,"l(pop_precip_shock, 1)",-0.0014611883607505783,8.004045000611062e-4,-1.8255624008098719,0.07414102516434104
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,0,"l(pop_precip_shock, 2)",0.0015874453506368816,0.002084757479000192,0.7614532465417457,0.4501114514910729
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,0,"l(miyajima_surprise_pop_precip_shock_resid, 1)",-0.014427919564118171,0.007093306502190609,-2.0340189105972555,0.04749622036456142
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,0,"l(miyajima_surprise_pop_precip_shock_resid, 2)",-2.8928335356554006e-4,0.010423636776297962,-0.0277526318092102,0.977974511931614
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,0,as.numeric(date),5.26403203046288e-6,2.919234438488847e-6,1.8032234619662224,0.0776320280921459
corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,0,pop_precip_shock:miyajima_surprise_pop_precip_shock_resid,-0.007112167643657828,0.003980985609051605,-1.7865343766847146,0.08032934415043196
