model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_unsecured_credit__target__land_temp_shock,corporate_unsecured_credit,target,land_temp_shock,0,land_temp_shock,-0.019613927434849472,0.012978460358466812,-1.511267661425945,0.137711427615633
corporate_unsecured_credit__target__land_temp_shock,corporate_unsecured_credit,target,land_temp_shock,0,target_land_temp_shock_resid,0.002011676600403727,7.898375886349474e-4,2.5469496885814813,0.014356506017256188
corporate_unsecured_credit__target__land_temp_shock,corporate_unsecured_credit,target,land_temp_shock,0,"l(corporate_unsecured_credit, 1)",0.09261245225197695,0.07693402757179658,1.2037905095446733,0.23496483967577247
corporate_unsecured_credit__target__land_temp_shock,corporate_unsecured_credit,target,land_temp_shock,0,"l(corporate_unsecured_credit, 2)",-0.1472104166074001,0.07314827066154851,-2.012493463974446,0.050175726572361086
corporate_unsecured_credit__target__land_temp_shock,corporate_unsecured_credit,target,land_temp_shock,0,"l(land_temp_shock, 1)",0.02521352409026854,0.013927770078663759,1.8103058815490976,0.0769287154976337
corporate_unsecured_credit__target__land_temp_shock,corporate_unsecured_credit,target,land_temp_shock,0,"l(land_temp_shock, 2)",0.018075736690236252,0.008847325993359682,2.043073433012744,0.046927815553016713
corporate_unsecured_credit__target__land_temp_shock,corporate_unsecured_credit,target,land_temp_shock,0,"l(target_land_temp_shock_resid, 1)",0.0013781408991105908,6.364398244838516e-4,2.1653907346672625,0.03569740164573828
corporate_unsecured_credit__target__land_temp_shock,corporate_unsecured_credit,target,land_temp_shock,0,"l(target_land_temp_shock_resid, 2)",4.616579449457003e-4,6.237868502972168e-4,0.7400892544075485,0.46308978026398306
corporate_unsecured_credit__target__land_temp_shock,corporate_unsecured_credit,target,land_temp_shock,0,as.numeric(date),2.0479203092449472e-5,6.149878148185169e-6,3.3300177009999605,0.001740390578232789
corporate_unsecured_credit__target__land_temp_shock,corporate_unsecured_credit,target,land_temp_shock,0,land_temp_shock:target_land_temp_shock_resid,-0.0010864367941733604,8.613169237319839e-4,-1.2613670580928085,0.2136764741392932
corporate_unsecured_credit__target__land_temp_shock,corporate_unsecured_credit,target,land_temp_shock,1,land_temp_shock,0.005869441613583542,0.02079832870729767,0.2822073684951467,0.7790784260499516
