model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,0,land_temp_shock,0.0645400870767986,0.053898785472009124,1.1974311946289726,0.23740821259111192
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,0,central_bank_information_land_temp_shock_resid,0.014001817498301079,0.009097221533335994,1.5391312003332678,0.1307751648377594
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,0,"l(corporate_unsecured_credit_rate, 1)",0.40046391561469225,0.09789102706657012,4.09091545584009,1.7558263287277678e-4
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,0,"l(corporate_unsecured_credit_rate, 2)",-0.4562541753429599,0.09607481418658954,-4.748946737038243,2.1117105459083955e-5
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,0,"l(land_temp_shock, 1)",-0.07060359050283219,0.08506914430943965,-0.8299553389888477,0.41094548545915666
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,0,"l(land_temp_shock, 2)",-0.04130127530544814,0.056494257341012606,-0.7310703290804221,0.4685259563064431
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,0,"l(central_bank_information_land_temp_shock_resid, 1)",-0.010470940859771632,0.008378341131979135,-1.2497630133255486,0.21784709562478904
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,0,"l(central_bank_information_land_temp_shock_resid, 2)",0.0015096133345500677,0.003779087917500111,0.3994649945981373,0.6914402877578222
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,0,as.numeric(date),4.752522528621542e-5,2.7027814972018704e-5,1.7583820717811347,0.08548217143562917
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,0,land_temp_shock:central_bank_information_land_temp_shock_resid,-0.009640600957789423,0.004013190027864951,-2.4022288730041277,0.020483846329613777
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,1,land_temp_shock,0.13012643341780752,0.10917276408556979,1.1919312889780294,0.23953630209529111
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,1,central_bank_information_land_temp_shock_resid,-0.01562972251855782,0.01825910486060742,-0.855996098268635,0.3965351240532703
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,1,"l(corporate_unsecured_credit_rate, 1)",0.6428651716717626,0.1286444068508866,4.997225976694937,9.284460485248121e-6
corporate_unsecured_credit_rate__central_bank_information__land_temp_shock,corporate_unsecured_credit_rate,central_bank_information,land_temp_shock,1,"l(corporate_unsecured_credit_rate, 2)",-0.7527541879813282,0.12274721576831919,-6.1325561094772505,1.9842342964722272e-7
