model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,pop_precip_shock,0.007546741641725846,0.021461267408359526,0.35164473272376556,0.726746019971146
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,central_bank_information_pop_precip_shock_resid,0.004659798630793164,0.0038063420787604672,1.2242196141001138,0.22724019458339595
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,"l(corporate_unsecured_credit_rate, 1)",0.3639893947035159,0.08620462918352596,4.222388033577618,1.1595690197638506e-4
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,"l(corporate_unsecured_credit_rate, 2)",-0.41177054145875375,0.08352152940113924,-4.930112563924592,1.1605156643042633e-5
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,"l(pop_precip_shock, 1)",0.030354926794710205,0.024162515907299047,1.2562817097014531,0.2154968181952014
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,"l(pop_precip_shock, 2)",0.02734221915754641,0.0087724231096388,3.116837710153747,0.0031811706251053066
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,"l(central_bank_information_pop_precip_shock_resid, 1)",-0.011037075380766027,0.009018993112927079,-1.223759153884528,0.22741221774919218
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,"l(central_bank_information_pop_precip_shock_resid, 2)",0.0026253228539212183,0.0030901072843801517,0.8495895489427432,0.40005081888724026
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,as.numeric(date),2.9712851388178663e-5,3.105070505611295e-5,0.9569139037095422,0.3437236427154654
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,0,pop_precip_shock:central_bank_information_pop_precip_shock_resid,0.006806210205499862,0.0018158432049021056,3.7482367349370307,5.055929852483465e-4
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,pop_precip_shock,0.018185387696935076,0.015512614287078893,1.1722967747662267,0.2472468658479018
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,central_bank_information_pop_precip_shock_resid,-0.0077497768113299285,0.009551325061754021,-0.8113823748248337,0.4214171698247593
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,"l(corporate_unsecured_credit_rate, 1)",0.581711255807146,0.09156152847198873,6.353227884188368,9.320606793735517e-8
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,"l(corporate_unsecured_credit_rate, 2)",-0.6951636951818796,0.08591258969214746,-8.091522996488354,2.5375576322759944e-10
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,"l(pop_precip_shock, 1)",0.06876036580546159,0.040879661770413044,1.6820189509304455,0.09949307064521905
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,"l(pop_precip_shock, 2)",0.08976558255978603,0.02213476114366765,4.05541229820166,1.9623848595147876e-4
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,"l(central_bank_information_pop_precip_shock_resid, 1)",-0.006077547882004015,0.006174515902699522,-0.9842954456311122,0.3302331004096648
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,"l(central_bank_information_pop_precip_shock_resid, 2)",-0.004701546514348467,0.005826078931995839,-0.8069829758962531,0.423921118701748
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,as.numeric(date),5.7907156509225386e-5,4.9861598253291364e-5,1.1613578091713683,0.25161980549643614
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,1,pop_precip_shock:central_bank_information_pop_precip_shock_resid,0.004124159388728961,0.0021022861675812974,1.9617497619145972,0.05599523394482832
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,pop_precip_shock,0.020713832180637125,0.02786545730577976,0.7433515966860064,0.4611323816065672
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,central_bank_information_pop_precip_shock_resid,-0.00445627901079083,0.012282071707187304,-0.36282795907982485,0.7184321150600912
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,"l(corporate_unsecured_credit_rate, 1)",0.7506669038109075,0.08116622827198688,9.248512833384758,5.667613124579258e-12
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,"l(corporate_unsecured_credit_rate, 2)",-0.9667681477745086,0.08882207458156706,-10.884322983097027,3.4230059534995765e-14
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,"l(pop_precip_shock, 1)",0.11739420946492747,0.05048915860649015,2.3251369740559906,0.024632907567778518
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,"l(pop_precip_shock, 2)",0.12746974938763833,0.04689943759355974,2.717937696658916,0.009294378666649592
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,"l(central_bank_information_pop_precip_shock_resid, 1)",-0.018518867210979357,0.008736804199373368,-2.119638575888835,0.0395861429638419
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,"l(central_bank_information_pop_precip_shock_resid, 2)",-0.011402479018569497,0.006496161929590991,-1.7552639761994688,0.08602017775612716
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,as.numeric(date),1.0645459308480403e-4,7.866027984593112e-5,1.353346228786785,0.18270464294526237
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,2,pop_precip_shock:central_bank_information_pop_precip_shock_resid,0.005603709625124186,0.002588201647137056,2.165097774094511,0.03572119100856676
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,3,pop_precip_shock,0.05122222177303873,0.04873349564853802,1.0510680814372357,0.298839135482454
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,3,central_bank_information_pop_precip_shock_resid,-0.018134278286023646,0.0184720211811917,-0.9817159751033664,0.3314886569273491
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,3,"l(corporate_unsecured_credit_rate, 1)",0.7993446989487213,0.09091638040683375,8.792086699578268,2.497113164069649e-11
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,3,"l(corporate_unsecured_credit_rate, 2)",-1.1379603330332042,0.10821302527924688,-10.515927542887413,1.0505002236402339e-13
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,3,"l(pop_precip_shock, 1)",0.1678753728276752,0.08133706319508449,2.06394681874647,0.04481723220063959
corporate_unsecured_credit_rate__central_bank_information__pop_precip_shock,corporate_unsecured_credit_rate,central_bank_information,pop_precip_shock,3,"l(pop_precip_shock, 2)",0.1692707512580724,0.07251293972825192,2.3343523499726833,0.0241001354161768
