model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,0,pop_temp_shock,0.12917637885022712,0.06317168208161751,2.0448462759521244,0.046374221259393486
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,0,miyajima_surprise_pop_temp_shock_resid,-0.18064176471791532,0.7314761000063124,-0.24695511543898216,0.8059961609812777
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,0,"l(household_mortgage_rate, 1)",0.33202973396370505,0.11812075104113738,2.810934836065092,0.00713057536985004
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,0,"l(household_mortgage_rate, 2)",-0.3771938275867695,0.12762425688546314,-2.9555026355631084,0.0048270024875368715
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.03836879267651941,0.05402740225495801,0.7101728211076143,0.48103317110572674
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.20551866542882322,0.10437895565806757,-1.9689664849883795,0.054744906010010475
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,0,"l(miyajima_surprise_pop_temp_shock_resid, 1)",-0.11732719489527474,0.18217283442631876,-0.6440433079100422,0.5226130997239273
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,0,"l(miyajima_surprise_pop_temp_shock_resid, 2)",-0.13723511374993488,0.08523788850871428,-1.6100247923891813,0.11395016947435563
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,0,as.numeric(date),4.144142110909175e-5,2.6168413010788713e-5,1.5836428862539842,0.11984228366612185
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,0,pop_temp_shock:miyajima_surprise_pop_temp_shock_resid,-0.2488450368073407,0.4096581089936273,-0.6074456512496663,0.5464183386190071
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,1,pop_temp_shock,0.2784934086313433,0.09239349162982127,3.0142102405561184,0.004107295498586569
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,1,miyajima_surprise_pop_temp_shock_resid,-0.11713914673757277,1.089198672782915,-0.10754617101972858,0.9148039750442349
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,1,"l(household_mortgage_rate, 1)",0.4227417741193764,0.23115987000229474,1.828785308259517,0.07364845770436675
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,1,"l(household_mortgage_rate, 2)",-0.5161666029177034,0.26899824645549414,-1.9188474635766943,0.06096060496557309
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,1,"l(pop_temp_shock, 1)",-0.06965095196776584,0.06263262579693167,-1.1120554356700465,0.2716531713506678
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,1,"l(pop_temp_shock, 2)",-0.5475260053677987,0.21552473070368383,-2.540432383699715,0.014361176195202477
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,1,"l(miyajima_surprise_pop_temp_shock_resid, 1)",-0.1371957062965288,0.2787478189749843,-0.49218575700799,0.6248316901607273
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,1,"l(miyajima_surprise_pop_temp_shock_resid, 2)",-0.5295585846078701,0.2104068905195869,-2.51683099968902,0.015236313603305787
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,1,as.numeric(date),8.173339584456487e-5,5.2999418215057134e-5,1.5421564726033996,0.1296031731051478
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,1,pop_temp_shock:miyajima_surprise_pop_temp_shock_resid,-0.6974408100645296,0.6281702322110528,-1.1102735760172144,0.27241230501904057
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,2,pop_temp_shock,0.2185163903183511,0.13023490826413486,1.6778634333213402,0.09987436065537356
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,2,miyajima_surprise_pop_temp_shock_resid,0.8190700594792056,1.4939969715267682,0.5482407763130664,0.58606747559627
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,2,"l(household_mortgage_rate, 1)",0.6265661289703299,0.2980387542089746,2.102297503669617,0.04079804996170594
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,2,"l(household_mortgage_rate, 2)",-0.7810957856978639,0.34523435426321397,-2.262508861161424,0.028229519330240666
household_mortgage_rate__miyajima_surprise__pop_temp_shock,household_mortgage_rate,miyajima_surprise,pop_temp_shock,2,"l(pop_temp_shock, 1)",-0.3301600169652628,0.18676012951522622,-1.7678292354061869,0.08344537982259564
