model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,0,pop_temp_shock,0.07297285814395932,0.049794618124441,1.465476810397339,0.14931115327869776
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,0,romer_surprise_pop_temp_shock_resid,0.5574840107437425,0.23469427586028185,2.3753626231413665,0.02157357048083154
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,0,"l(household_mortgage_rate, 1)",0.15258838011963663,0.12203337647133104,1.2503823505652472,0.21722131646806297
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,0,"l(household_mortgage_rate, 2)",-0.21323903076075876,0.14600957282806282,-1.4604455490864539,0.15068265297035452
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.009883148987049194,0.07288761346107679,0.13559435571761397,0.8927090217897723
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.13080783601777898,0.07324351643069071,-1.78593058324228,0.08042838425860306
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,0,"l(romer_surprise_pop_temp_shock_resid, 1)",-0.22577000651897733,0.15986721547716629,-1.412234558818746,0.1643316640484709
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,0,"l(romer_surprise_pop_temp_shock_resid, 2)",0.17346366463887022,0.05265033305333449,3.294635657160089,0.0018567093976085017
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,0,as.numeric(date),1.7676213715848063e-5,2.202842771744507e-5,0.802427388035945,0.426260999960572
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,0,pop_temp_shock:romer_surprise_pop_temp_shock_resid,0.08333204320455653,0.1690492380684856,0.4929453936420398,0.6242988001312026
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,1,pop_temp_shock,0.1728867355535783,0.0732408039691453,2.3605248192853208,0.022359739468482447
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,1,romer_surprise_pop_temp_shock_resid,0.28536968586734024,0.36336817222968204,0.785345849407417,0.4361102500511195
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,1,"l(household_mortgage_rate, 1)",0.40843806632575047,0.3110566902779077,1.3130663287159623,0.1954035095416383
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,1,"l(household_mortgage_rate, 2)",-0.5825127517365335,0.3591642183851431,-1.621856303936955,0.11138523160238653
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,1,"l(pop_temp_shock, 1)",-0.07120671986503489,0.16843251051568522,-0.4227611382566419,0.6743575281895591
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,1,"l(pop_temp_shock, 2)",-0.3969991853218387,0.17699691680520266,-2.242972321143671,0.029551386848343526
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,1,"l(romer_surprise_pop_temp_shock_resid, 1)",-0.06837568389401637,0.13071946657011632,-0.523071931733599,0.6033305918499634
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,1,"l(romer_surprise_pop_temp_shock_resid, 2)",0.24369407082790992,0.1277125953717651,1.9081443777610847,0.06236347623107504
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,1,as.numeric(date),4.1393172736413865e-5,4.6905707204582146e-5,0.8824762529616061,0.3819175302118937
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,1,pop_temp_shock:romer_surprise_pop_temp_shock_resid,0.2641999357341363,0.10028028323965896,2.6346149731421002,0.011305962950319064
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,2,pop_temp_shock,0.07003581373327257,0.13901731276799464,0.5037920266100598,0.6167120319734003
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,2,romer_surprise_pop_temp_shock_resid,0.07747388640050934,0.5953908734964398,0.13012273088020823,0.8970131178880452
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,2,"l(household_mortgage_rate, 1)",0.768672766712446,0.46129787412883183,1.666326271639765,0.10216200948896174
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,2,"l(household_mortgage_rate, 2)",-1.0537379169579897,0.5476194722688192,-1.9242155736213915,0.06026720909090728
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,2,"l(pop_temp_shock, 1)",-0.25307506892240056,0.2541502482143967,-0.9957695131145844,0.3243556703988548
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,2,"l(pop_temp_shock, 2)",-0.49132693755501944,0.2305029325018144,-2.131543109765651,0.03819144678935832
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,2,"l(romer_surprise_pop_temp_shock_resid, 1)",-0.23730225555927503,0.12095372096791658,-1.9619260462621098,0.0555837533588205
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,2,"l(romer_surprise_pop_temp_shock_resid, 2)",0.36284823065227817,0.1842719716143464,1.96909072754518,0.054730201181656876
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,2,as.numeric(date),6.262695872239967e-5,7.185407659168026e-5,0.87158532532935,0.3877733644557627
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,2,pop_temp_shock:romer_surprise_pop_temp_shock_resid,0.4341473277562255,0.3291552669497168,1.3189742694366418,0.1934357844735035
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,3,pop_temp_shock,-0.16433410666738085,0.25127255407472043,-0.6540073876055446,0.5162944607606297
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,3,romer_surprise_pop_temp_shock_resid,-0.300792711988112,0.6868213382225805,-0.4379489908780806,0.6634294716817487
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,3,"l(household_mortgage_rate, 1)",1.1093370013001775,0.5073917311614901,2.186352147995694,0.03380391523750484
household_mortgage_rate__romer_surprise__pop_temp_shock,household_mortgage_rate,romer_surprise,pop_temp_shock,3,"l(household_mortgage_rate, 2)",-1.5517689712889482,0.603866105478031,-2.5697235814560924,0.013409557309200154
