model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,0,land_precip_shock,-0.0033797923919677768,0.0022784590248389053,-1.4833676423945081,0.14494737582665618
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,0,central_bank_information_land_precip_shock_resid,-6.616681010000012e-5,3.5207574732484137e-4,-0.18793345069278958,0.8517737195078969
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,0,"l(household_secured_credit, 1)",0.48198392814634594,0.07064358301532148,6.822755975469297,1.867358211105382e-8
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,0,"l(household_secured_credit, 2)",-0.4983998616678796,0.06668819801905117,-7.473584179400065,2.0333824208993847e-9
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,0,"l(land_precip_shock, 1)",-1.1814458904320032e-4,8.869802980230858e-4,-0.13319866214223997,0.8946301459642602
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,0,"l(land_precip_shock, 2)",0.003756120385635332,0.0013805582819756204,2.720725690957582,0.009227530989014398
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,0,"l(central_bank_information_land_precip_shock_resid, 1)",9.049906077895118e-4,2.970815133853241e-4,3.0462703568353997,0.0038669701560222008
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,0,"l(central_bank_information_land_precip_shock_resid, 2)",-5.725640151026161e-4,1.9018949327495176e-4,-3.010492352881323,0.004265551269428303
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,0,as.numeric(date),1.2436758912445845e-5,3.3774373519190004e-6,3.682306321797353,6.169976377070733e-4
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,0,land_precip_shock:central_bank_information_land_precip_shock_resid,-5.994224355587639e-4,2.580071069463369e-4,-2.323278775741004,0.024741605269990176
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,1,land_precip_shock,-0.005144853424642209,0.003110784314710823,-1.6538766125032593,0.10511273541704858
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,1,central_bank_information_land_precip_shock_resid,4.937490910381456e-4,5.041412364793747e-4,0.9793864403677793,0.3326252951648573
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,1,"l(household_secured_credit, 1)",0.6995434261469191,0.11488895552611293,6.088865748178214,2.3041652033217712e-7
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,1,"l(household_secured_credit, 2)",-0.7432520179851153,0.10482248423551224,-7.090578165608033,7.480471717011323e-9
household_secured_credit__central_bank_information__land_precip_shock,household_secured_credit,central_bank_information,land_precip_shock,1,"l(land_precip_shock, 1)",0.0034933097226217905,0.0018556002199772155,1.8825766913654947,0.06623274671561874
