model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,0,land_temp_shock,-0.008092770594443592,0.005403145172373763,-1.4977888500612315,0.1407359499527634
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,0,romer_surprise_land_temp_shock_resid,0.012530074588469038,0.0074974799090223535,1.6712381680930597,0.10118284733750021
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,0,"l(household_secured_credit, 1)",0.4768227976546898,0.058976865554985304,8.084912502007054,1.6393596166077045e-10
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,0,"l(household_secured_credit, 2)",-0.4942293957973313,0.055379290714300415,-8.92444430801834,9.162802499370882e-12
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,0,"l(land_temp_shock, 1)",4.060099104281952e-4,0.0037362766383929676,0.10866698312864397,0.9139196321235172
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,0,"l(land_temp_shock, 2)",-0.006012775055451899,0.007286214740015321,-0.8252261661230226,0.4133257531567215
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,0,"l(romer_surprise_land_temp_shock_resid, 1)",-0.030973055575352345,0.013484686327578557,-2.2969058992500995,0.026029431312341818
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,0,"l(romer_surprise_land_temp_shock_resid, 2)",0.022434835029989296,0.009940773158237243,2.25685011345411,0.028606885266373182
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,0,as.numeric(date),1.2759327672639064e-5,3.0148401146927823e-6,4.232173908810837,1.03723700469852e-4
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,0,land_temp_shock:romer_surprise_land_temp_shock_resid,-0.007433735343794852,0.012811581504246898,-0.5802355736745421,0.5644698551678169
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,1,land_temp_shock,-0.008808507692813874,0.009737273435966877,-0.9046174733347437,0.37018622786734323
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,1,romer_surprise_land_temp_shock_resid,-0.016152586812755106,0.013595957865068507,-1.1880433120681577,0.24066171162566455
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,1,"l(household_secured_credit, 1)",0.6511254851199128,0.09235712188308874,7.050084193227101,6.161885416169774e-9
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,1,"l(household_secured_credit, 2)",-0.6968394268072572,0.08378219834254852,-8.317273127140774,7.332106692278994e-11
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,1,"l(land_temp_shock, 1)",-0.0012649666200937803,0.006133840335281317,-0.20622751016484764,0.8374854527623347
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,1,"l(land_temp_shock, 2)",-0.028151522123934326,0.009467129312626112,-2.9736070137321597,0.004593381553875377
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,1,"l(romer_surprise_land_temp_shock_resid, 1)",-0.012405528649028748,0.012929942497234012,-0.9594419040674429,0.3421443005082292
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,1,"l(romer_surprise_land_temp_shock_resid, 2)",0.023550136684110056,0.016070819851420382,1.465397341382595,0.14933273955098833
household_secured_credit__romer_surprise__land_temp_shock,household_secured_credit,romer_surprise,land_temp_shock,1,as.numeric(date),3.483303877686954e-5,6.403422537942904e-6,5.439753283571326,1.7765572154588568e-6
