model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,0,land_precip_shock,-0.016976465697498513,0.0095204804017072,-1.7831522130389887,0.08130736792124979
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,0,country_risk_land_precip_shock_resid,-0.016847167201616817,0.0058488298504686944,-2.880433801688858,0.00606205154669067
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,0,"l(household_secured_credit_rate, 1)",0.36839224962192885,0.035256709017957646,10.44885526423615,1.290842583554528e-13
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,0,"l(household_secured_credit_rate, 2)",-0.4652425882840786,0.03938359699185714,-11.813105552046734,2.1899032634750847e-15
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,0,"l(land_precip_shock, 1)",0.002500977346330157,0.017987065950171306,0.13904309648157698,0.8900365021780527
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,0,"l(land_precip_shock, 2)",0.033457995537754234,0.016910369136855136,1.9785490941669948,0.05400731306884005
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,0,"l(country_risk_land_precip_shock_resid, 1)",-0.003317965312559742,0.009762964436347828,-0.33985223793368036,0.735549027662648
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,0,"l(country_risk_land_precip_shock_resid, 2)",-0.005838153677031643,0.004014707141126312,-1.4541916687337173,0.15283289574874426
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,0,as.numeric(date),3.8998778958437224e-5,3.719759559753225e-5,1.0484220372841644,0.30004268914448673
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,0,land_precip_shock:country_risk_land_precip_shock_resid,-0.006835432893251557,0.002427477582981393,-2.815858297177919,0.007195698270305345
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,1,land_precip_shock,-0.030611109124772908,0.017203425763222535,-1.7793612473518678,0.08193500210093092
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,1,country_risk_land_precip_shock_resid,-0.02931191671351534,0.015019218224605843,-1.9516273267468678,0.05722321239189459
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,1,"l(household_secured_credit_rate, 1)",0.4551717731388772,0.05664168566781212,8.03598564859694,3.05566037259565e-10
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,1,"l(household_secured_credit_rate, 2)",-0.6738930625964933,0.07185890756349628,-9.378003165453427,3.737294631602641e-12
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,1,"l(land_precip_shock, 1)",0.04451813112825969,0.035117839983520256,1.2676785118091178,0.21143321404686177
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,1,"l(land_precip_shock, 2)",0.10980570967747944,0.0395321590709738,2.7776299665378885,0.007956448332844535
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,1,"l(country_risk_land_precip_shock_resid, 1)",-0.004786349831951496,0.015519647170709099,-0.3084058406292239,0.7591967331035153
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,1,"l(country_risk_land_precip_shock_resid, 2)",-5.812055834093771e-4,0.008668093960630605,-0.06705114019865728,0.946838020989398
household_secured_credit_rate__country_risk__land_precip_shock,household_secured_credit_rate,country_risk,land_precip_shock,1,as.numeric(date),5.339810662233697e-5,7.640447826212196e-5,0.6988871311854693,0.4882191606845907
