model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_secured_credit_rate__miyajima_surprise__pop_temp_shock,household_secured_credit_rate,miyajima_surprise,pop_temp_shock,0,pop_temp_shock,0.12992118662190924,0.04789404037717485,2.712679606872895,0.009238023190821966
household_secured_credit_rate__miyajima_surprise__pop_temp_shock,household_secured_credit_rate,miyajima_surprise,pop_temp_shock,0,miyajima_surprise_pop_temp_shock_resid,-0.37902960780961,0.34125226597507335,-1.1107020981284739,0.27222960319998557
household_secured_credit_rate__miyajima_surprise__pop_temp_shock,household_secured_credit_rate,miyajima_surprise,pop_temp_shock,0,"l(household_secured_credit_rate, 1)",0.22078665566174868,0.07322281185752133,3.0152714715649074,0.004095261030853705
household_secured_credit_rate__miyajima_surprise__pop_temp_shock,household_secured_credit_rate,miyajima_surprise,pop_temp_shock,0,"l(household_secured_credit_rate, 2)",-0.3094869098792662,0.07038154069126008,-4.397273870955456,6.058952153716823e-5
household_secured_credit_rate__miyajima_surprise__pop_temp_shock,household_secured_credit_rate,miyajima_surprise,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.04971761277199124,0.04281104046423073,1.1613268968207175,0.2512516976325145
household_secured_credit_rate__miyajima_surprise__pop_temp_shock,household_secured_credit_rate,miyajima_surprise,pop_temp_shock,0,"l(pop_temp_shock, 2)",-0.11851142079261709,0.07248969588412588,-1.6348726442728705,0.10861793359843114
household_secured_credit_rate__miyajima_surprise__pop_temp_shock,household_secured_credit_rate,miyajima_surprise,pop_temp_shock,0,"l(miyajima_surprise_pop_temp_shock_resid, 1)",-0.04760439112110542,0.15571521893860857,-0.3057144410519929,0.7611440383893191
household_secured_credit_rate__miyajima_surprise__pop_temp_shock,household_secured_credit_rate,miyajima_surprise,pop_temp_shock,0,"l(miyajima_surprise_pop_temp_shock_resid, 2)",-0.3332107824053027,0.22717903034973,-1.4667321270468603,0.14897049572173157
household_secured_credit_rate__miyajima_surprise__pop_temp_shock,household_secured_credit_rate,miyajima_surprise,pop_temp_shock,0,as.numeric(date),5.9404567066182e-5,3.496394194905738e-5,1.6990237300111846,0.09578815446225103
household_secured_credit_rate__miyajima_surprise__pop_temp_shock,household_secured_credit_rate,miyajima_surprise,pop_temp_shock,0,pop_temp_shock:miyajima_surprise_pop_temp_shock_resid,0.015913887148321405,0.1926551512212164,0.08260296725753402,0.9345107516480275
