model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,0,land_temp_shock,0.1296260958652875,0.06642441473079205,1.9514826948892536,0.05684838065803111
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,0,romer_surprise_land_temp_shock_resid,0.4393361692041294,0.16710242745780432,2.6291429507513757,0.011465744387421819
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,0,"l(household_secured_credit_rate, 1)",0.11151583595684823,0.07095364332972513,1.5716717383859848,0.1225959214273074
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,0,"l(household_secured_credit_rate, 2)",-0.22979261230591458,0.06499824175949848,-3.535366589702159,9.133725023690626e-4
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,0,"l(land_temp_shock, 1)",0.06126125979748422,0.035613355095254554,1.7201765920012189,0.09184234551782793
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,0,"l(land_temp_shock, 2)",-0.05750658131467995,0.05365404422685205,-1.071803293551166,0.28916787223785667
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,0,"l(romer_surprise_land_temp_shock_resid, 1)",0.021006317307751165,0.23804716053465347,0.08824435149980792,0.9300496109919663
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,0,"l(romer_surprise_land_temp_shock_resid, 2)",0.14512450777977895,0.12048309961220559,1.2045216984530256,0.23429374741982703
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,0,as.numeric(date),4.289349221031914e-5,2.442601140664408e-5,1.7560579783669368,0.08545761554448254
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,0,land_temp_shock:romer_surprise_land_temp_shock_resid,-0.13820939333848994,0.1339924238255193,-1.0314717011049956,0.307489088765819
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,1,land_temp_shock,0.33226938935106737,0.11855535428490098,2.802651903452535,0.007289379429184339
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,1,romer_surprise_land_temp_shock_resid,0.37843689471836767,0.2242561653662786,1.687520582099783,0.09799203918813107
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,1,"l(household_secured_credit_rate, 1)",0.017595514878334956,0.16059748171433433,0.10956283181098254,0.9132128687811771
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,1,"l(household_secured_credit_rate, 2)",-0.28122569485533677,0.15346546975992384,-1.832501443453545,0.07308393736175064
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,1,"l(land_temp_shock, 1)",0.0813473637587522,0.09010800163660393,0.9027762494036606,0.3711528927151784
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,1,"l(land_temp_shock, 2)",-0.3195436109535424,0.167651041498625,-1.9060043295714517,0.06264725615647392
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,1,"l(romer_surprise_land_temp_shock_resid, 1)",0.3038101697208781,0.2625097172918282,1.157329232818977,0.252864734911569
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,1,"l(romer_surprise_land_temp_shock_resid, 2)",0.20640265466650973,0.17369491250160374,1.18830570045973,0.24055933741271582
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,1,as.numeric(date),8.720657864622716e-5,5.1706799490030964e-5,1.6865592051010725,0.09817810613682083
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,1,land_temp_shock:romer_surprise_land_temp_shock_resid,0.052229489837617625,0.14142462685483084,0.3693097234842274,0.7135211178244059
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,2,land_temp_shock,0.40470135443198285,0.13141043059943924,3.079674517356842,0.003423723269195433
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,2,romer_surprise_land_temp_shock_resid,0.30290242230140074,0.32364037280295505,0.93592285683659,0.3539979928303093
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,2,"l(household_secured_credit_rate, 1)",-0.07397083598006958,0.24453398844355798,-0.30249715571601665,0.7635800939171857
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,2,"l(household_secured_credit_rate, 2)",-0.3264599842400405,0.24256174266665995,-1.3458840650261883,0.184662647400286
household_secured_credit_rate__romer_surprise__land_temp_shock,household_secured_credit_rate,romer_surprise,land_temp_shock,2,"l(land_temp_shock, 1)",-0.09397369136869632,0.19119344676471628,-0.4915110478882724,0.6253051727224368
