model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,0,land_temp_shock,0.013615932882175604,0.007153191794526079,1.9034765561011637,0.06338615479933464
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,0,country_risk_land_temp_shock_resid,-0.022947144479431286,0.011480931812101297,-1.998717948594051,0.05170134704107555
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,0,"l(household_unsecured_credit, 1)",0.14231134568127227,0.06606229956542521,2.1541990911220603,0.03661618677312227
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,0,"l(household_unsecured_credit, 2)",-0.26087434969502493,0.08977801398971057,-2.905771002295993,0.005664497769309047
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,0,"l(land_temp_shock, 1)",0.019286035049844077,0.01645188391745858,1.1722690937162477,0.24725786172304726
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,0,"l(land_temp_shock, 2)",0.016138639634800042,0.012457478405762551,1.295498102355503,0.2017548833191369
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,0,"l(country_risk_land_temp_shock_resid, 1)",-0.0026698897245932126,0.0016156296829438533,-1.652538173059796,0.10538636528232842
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,0,"l(country_risk_land_temp_shock_resid, 2)",-0.0020545878865292867,0.003152968208162353,-0.6516360936372282,0.5179503500909659
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,0,as.numeric(date),2.947046473799074e-5,1.1749338856741063e-5,2.5082657924264704,0.015805580813808378
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,0,land_temp_shock:country_risk_land_temp_shock_resid,0.01785552082452774,0.007648273583512539,2.3345818673405025,0.024086999024158114
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,1,land_temp_shock,0.04896178112071939,0.020129187901621076,2.4323773696193833,0.019040529407530527
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,1,country_risk_land_temp_shock_resid,-0.03687015263359268,0.0165884641623864,-2.222638109994179,0.03130858096405018
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,1,"l(household_unsecured_credit, 1)",0.17259024392236452,0.17349209543741745,0.9948017717304115,0.32515206285362575
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,1,"l(household_unsecured_credit, 2)",-0.3949449469621306,0.2059702287982842,-1.9174855961776776,0.061537142681415226
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,1,"l(land_temp_shock, 1)",0.03190535555741564,0.013009708637423033,2.4524266028247856,0.018132243492717682
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,1,"l(land_temp_shock, 2)",-0.010852701172085968,0.010614211714699269,-1.0224688807607278,0.3120245010294341
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,1,"l(country_risk_land_temp_shock_resid, 1)",4.493563656081327e-5,0.002472315994161814,0.018175523139811155,0.9855791788584354
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,1,"l(country_risk_land_temp_shock_resid, 2)",-9.428578893217556e-4,0.005195068657267458,-0.18149093910487166,0.8567972778878694
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,1,as.numeric(date),4.735649708612268e-5,1.4880471991615393e-5,3.182459340860045,0.0026477023065343943
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,1,land_temp_shock:country_risk_land_temp_shock_resid,0.030625172136285333,0.013408388321380001,2.2840308172946298,0.02713997964560132
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,2,land_temp_shock,0.0727132282826843,0.025274532494955867,2.8769366276980968,0.006118920693938962
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,2,country_risk_land_temp_shock_resid,-0.03770081671192984,0.021562182176878938,-1.7484694453772083,0.08720232550624038
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,2,"l(household_unsecured_credit, 1)",0.1595456048435866,0.20402370815357473,0.781995417530064,0.438312715792713
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,2,"l(household_unsecured_credit, 2)",-0.4826867442695868,0.25510868344349313,-1.8920827694071907,0.06492477954309904
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,2,"l(land_temp_shock, 1)",-0.006234773440862114,0.016887957126471644,-0.3691845848595382,0.7137216683798302
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,2,"l(land_temp_shock, 2)",0.004448358091859317,0.0148395775183228,0.2997631223912418,0.7657381593335506
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,2,"l(country_risk_land_temp_shock_resid, 1)",0.005079265227511133,0.0028665947148005045,1.7718811805821022,0.08318532147104679
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,2,"l(country_risk_land_temp_shock_resid, 2)",-2.810879763824172e-4,0.0072294165381037384,-0.038881142745185636,0.9691571365672327
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,2,as.numeric(date),6.22736003428467e-5,2.427416259048124e-5,2.5654273390780693,0.013708002739824662
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,2,land_temp_shock:country_risk_land_temp_shock_resid,0.034084190341447634,0.017725911453772825,1.9228455715992576,0.06084200197859269
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,3,land_temp_shock,0.048297051753090424,0.02219685595606067,2.175851023617753,0.034857093707964734
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,3,country_risk_land_temp_shock_resid,-0.04014538836094614,0.018352980935320527,-2.1874042425274833,0.03394931843928625
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,3,"l(household_unsecured_credit, 1)",0.13038653434900752,0.1850801857244553,0.704486727407574,0.48475987825516065
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,3,"l(household_unsecured_credit, 2)",-0.5641987234037622,0.2278839397034563,-2.475816084880531,0.017122310107388374
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,3,"l(land_temp_shock, 1)",0.012776995237948816,0.01321256051415719,0.9670339995232817,0.33869577979588217
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,3,"l(land_temp_shock, 2)",-0.008315531842271883,0.011139129216488734,-0.7465154304847087,0.45923866066574837
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,3,"l(country_risk_land_temp_shock_resid, 1)",0.00832138850287271,0.0035536887779081877,2.341619939991183,0.023687278448564168
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,3,"l(country_risk_land_temp_shock_resid, 2)",-4.2777950917302507e-4,0.006007871373082413,-0.07120317373798027,0.9435515682295119
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,3,as.numeric(date),7.861283179015616e-5,2.8131747204029165e-5,2.794452517293233,0.007612937360387377
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,3,land_temp_shock:country_risk_land_temp_shock_resid,0.04216381068149241,0.016468536251503026,2.5602646183958373,0.013886452003240457
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,4,land_temp_shock,0.04933344827337088,0.025745435376254417,1.9162017480920992,0.06170465152052172
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,4,country_risk_land_temp_shock_resid,-0.02720400097027695,0.01764533180036225,-1.5417109339773634,0.1301473932790527
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,4,"l(household_unsecured_credit, 1)",-0.0680315589295463,0.14343689455247552,-0.47429609475167056,0.6375822817901249
household_unsecured_credit__country_risk__land_temp_shock,household_unsecured_credit,country_risk,land_temp_shock,4,"l(household_unsecured_credit, 2)",-0.4748460751347176,0.17337853628181166,-2.738782350560953,0.008805212590339782
