model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit__miyajima_surprise__pop_temp_shock,household_unsecured_credit,miyajima_surprise,pop_temp_shock,0,pop_temp_shock,0.0020973495912066896,0.0049241260437268685,0.42593336819203187,0.6720603165071517
household_unsecured_credit__miyajima_surprise__pop_temp_shock,household_unsecured_credit,miyajima_surprise,pop_temp_shock,0,miyajima_surprise_pop_temp_shock_resid,0.06642500760764285,0.07685264507369638,0.8643164792044028,0.39171291769270156
household_unsecured_credit__miyajima_surprise__pop_temp_shock,household_unsecured_credit,miyajima_surprise,pop_temp_shock,0,"l(household_unsecured_credit, 1)",0.021320401646207295,0.07726002056048956,0.27595645835370713,0.7837661576548376
household_unsecured_credit__miyajima_surprise__pop_temp_shock,household_unsecured_credit,miyajima_surprise,pop_temp_shock,0,"l(household_unsecured_credit, 2)",-0.12685675679690708,0.056600412499537324,-2.2412691214563862,0.029669189562953446
household_unsecured_credit__miyajima_surprise__pop_temp_shock,household_unsecured_credit,miyajima_surprise,pop_temp_shock,0,"l(pop_temp_shock, 1)",0.021051333247318296,0.020405150283944733,1.0316676404918221,0.30739820453657035
household_unsecured_credit__miyajima_surprise__pop_temp_shock,household_unsecured_credit,miyajima_surprise,pop_temp_shock,0,"l(pop_temp_shock, 2)",0.007426893298222198,0.005576711100925403,1.3317694181772792,0.18922568888029453
household_unsecured_credit__miyajima_surprise__pop_temp_shock,household_unsecured_credit,miyajima_surprise,pop_temp_shock,0,"l(miyajima_surprise_pop_temp_shock_resid, 1)",8.666564306519944e-4,0.018085301469433945,0.04792048571137919,0.9619784484679821
household_unsecured_credit__miyajima_surprise__pop_temp_shock,household_unsecured_credit,miyajima_surprise,pop_temp_shock,0,"l(miyajima_surprise_pop_temp_shock_resid, 2)",-0.01336904333716346,0.05486190474799737,-0.2436853659852463,0.8085130282032988
household_unsecured_credit__miyajima_surprise__pop_temp_shock,household_unsecured_credit,miyajima_surprise,pop_temp_shock,0,as.numeric(date),1.892802292450228e-5,7.444873105953905e-6,2.5424238472734926,0.014289465733148259
household_unsecured_credit__miyajima_surprise__pop_temp_shock,household_unsecured_credit,miyajima_surprise,pop_temp_shock,0,pop_temp_shock:miyajima_surprise_pop_temp_shock_resid,-0.05325137104459451,0.049608794584366886,-1.0734260223564371,0.2884469315561039
household_unsecured_credit__miyajima_surprise__pop_temp_shock,household_unsecured_credit,miyajima_surprise,pop_temp_shock,1,pop_temp_shock,0.027315173017691288,0.023446222591800667,1.1650138059869664,0.24977062463035896
household_unsecured_credit__miyajima_surprise__pop_temp_shock,household_unsecured_credit,miyajima_surprise,pop_temp_shock,1,miyajima_surprise_pop_temp_shock_resid,0.17140160015689632,0.10790588619411198,1.5884360548094831,0.11875384646829323
