model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,0,land_precip_shock,2.528690207503905e-4,0.013597413777015089,0.018596846789926874,0.9852449312492134
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,0,forward_guidance_land_precip_shock_resid,-3.3316741170987473e-4,0.005202457428223886,-0.06404039173918195,0.9492217024267322
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,0,"l(household_unsecured_credit_rate, 1)",0.02801000513102899,0.04896388475000798,0.5720543881278625,0.5701319995857557
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,0,"l(household_unsecured_credit_rate, 2)",-0.05930724290545279,0.04709908838791533,-1.2592015033707071,0.2144502464000694
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,0,"l(land_precip_shock, 1)",0.08277954564141078,0.04581062987229648,1.8069942690631042,0.07745186516223591
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,0,"l(land_precip_shock, 2)",0.07322866665140165,0.03249493385180306,2.253541028437526,0.029144076630015718
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,0,"l(forward_guidance_land_precip_shock_resid, 1)",-0.03092968107860451,0.016562815557510813,-1.8674168634679198,0.06836502732925115
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,0,"l(forward_guidance_land_precip_shock_resid, 2)",-0.005681935251371495,0.009058845206124039,-0.6272251177810548,0.5336814091859758
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,0,as.numeric(date),-1.1623750672776862e-5,2.748182267476837e-5,-0.42296141745535926,0.6743379100338954
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,0,land_precip_shock:forward_guidance_land_precip_shock_resid,0.0035590543071884304,0.004376377882909019,0.8132420011278125,0.42036145236966493
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,1,land_precip_shock,0.07717374024547881,0.04641312533243183,1.6627568105514445,0.10331200058246964
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,1,forward_guidance_land_precip_shock_resid,-0.031316280942933296,0.007790937144655001,-4.01957817929746,2.1947138291757235e-4
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,1,"l(household_unsecured_credit_rate, 1)",0.04117340604719281,0.06992960257722036,0.5887836414017472,0.5589505083168348
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,1,"l(household_unsecured_credit_rate, 2)",-0.0882606452330393,0.06673706353372383,-1.3225131667418824,0.1926796718352323
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,1,"l(land_precip_shock, 1)",0.1602054285849886,0.07799631341539337,2.0540128317573845,0.04581115181806358
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,1,"l(land_precip_shock, 2)",0.10605752617123791,0.027132209110246223,3.9089159950188606,3.093135974369238e-4
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,1,"l(forward_guidance_land_precip_shock_resid, 1)",-0.03134434427993893,0.02065453080950421,-1.51755295576677,0.1361217049476153
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,1,"l(forward_guidance_land_precip_shock_resid, 2)",-0.007485823256233918,0.015549396280742697,-0.4814221157579481,0.6325494229450195
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,1,as.numeric(date),-3.3228332166062025e-5,6.343229430926145e-5,-0.5238393554560506,0.602960861623071
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,1,land_precip_shock:forward_guidance_land_precip_shock_resid,-0.011807762793608926,0.004379128744275989,-2.696372608145625,0.009826722528069931
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,2,land_precip_shock,0.1298037341903109,0.06714649756365258,1.9331422918561227,0.059525462770496376
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,2,forward_guidance_land_precip_shock_resid,-0.04683684542782809,0.009494651709418486,-4.9329714097218504,1.1495547812350315e-5
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,2,"l(household_unsecured_credit_rate, 1)",0.025663738945520237,0.09665838209272148,0.26550970945180713,0.7918294364310627
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,2,"l(household_unsecured_credit_rate, 2)",-0.1422022355043758,0.08103317894318045,-1.7548643328442834,0.08608933750347061
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,2,"l(land_precip_shock, 1)",0.19747206462270897,0.07738830867649084,2.5517041010446246,0.014187022054846172
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,2,"l(land_precip_shock, 2)",0.1987638263479827,0.06337147137963378,3.1364874764744863,0.003011644586240431
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,2,"l(forward_guidance_land_precip_shock_resid, 1)",-0.02832491870563731,0.02199323917380774,-1.2878920872815367,0.20436722494184448
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,2,"l(forward_guidance_land_precip_shock_resid, 2)",-0.011535342072848212,0.014993714881252873,-0.7693451665718429,0.44570804368568917
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,2,as.numeric(date),-4.7906470373132004e-5,9.091106404713637e-5,-0.5269597366970982,0.6008098249005007
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,2,land_precip_shock:forward_guidance_land_precip_shock_resid,-0.015421479260273938,0.009525150587752352,-1.619027344313403,0.11242977658182617
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,3,land_precip_shock,0.13450869093154208,0.06101083184534073,2.2046690212733795,0.03263169223048566
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,3,forward_guidance_land_precip_shock_resid,-0.05071117987781896,0.014641927895042536,-3.46342231988376,0.001181780481309019
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,3,"l(household_unsecured_credit_rate, 1)",0.020057404578202865,0.1520280084482969,0.13193229841607887,0.8956259774323174
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,3,"l(household_unsecured_credit_rate, 2)",-0.23328701202287533,0.12560749483626588,-1.8572698414770057,0.06982459567712765
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,3,"l(land_precip_shock, 1)",0.296946437329774,0.12071149860446002,2.4599681120917047,0.017800867412944104
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,3,"l(land_precip_shock, 2)",0.2946369159743249,0.1096930918658577,2.6860115889032707,0.010092350464527753
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,3,"l(forward_guidance_land_precip_shock_resid, 1)",-0.03297062273871841,0.02109786029648487,-1.5627472300691871,0.1251180643091799
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,3,"l(forward_guidance_land_precip_shock_resid, 2)",-0.002998411185953837,0.021303121932129986,-0.1407498485671035,0.8886957311616877
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,3,as.numeric(date),-5.195001709955168e-5,1.1191824976405504e-4,-0.46417824804330127,0.6447578881797091
household_unsecured_credit_rate__forward_guidance__land_precip_shock,household_unsecured_credit_rate,forward_guidance,land_precip_shock,3,land_precip_shock:forward_guidance_land_precip_shock_resid,-0.019454152154671778,0.010188500812947414,-1.909422447113092,0.06259565610263697
