model,dep,mp_shock,climate_shock,h,term,estimate,std.error,statistic,p.value
household_unsecured_credit_rate__target__land_temp_shock,household_unsecured_credit_rate,target,land_temp_shock,0,land_temp_shock,0.10704081488559941,0.08547721780830995,1.252273034034024,0.21693987722974256
household_unsecured_credit_rate__target__land_temp_shock,household_unsecured_credit_rate,target,land_temp_shock,0,target_land_temp_shock_resid,0.01740970163003456,0.0046834741159599205,3.7172622713355774,5.552798637095127e-4
household_unsecured_credit_rate__target__land_temp_shock,household_unsecured_credit_rate,target,land_temp_shock,0,"l(household_unsecured_credit_rate, 1)",-0.031959419565154155,0.0711399023306444,-0.4492474478895543,0.6554094632618025
household_unsecured_credit_rate__target__land_temp_shock,household_unsecured_credit_rate,target,land_temp_shock,0,"l(household_unsecured_credit_rate, 2)",-4.925184775652384e-4,0.06913508591960722,-0.007124001814909967,0.9943474061830307
household_unsecured_credit_rate__target__land_temp_shock,household_unsecured_credit_rate,target,land_temp_shock,0,"l(land_temp_shock, 1)",-0.1253573868615299,0.09774460975917723,-1.282499231112436,0.20623479393209693
household_unsecured_credit_rate__target__land_temp_shock,household_unsecured_credit_rate,target,land_temp_shock,0,"l(land_temp_shock, 2)",-0.16319509141374955,0.12325040517850841,-1.3240937518816889,0.19215846003941114
household_unsecured_credit_rate__target__land_temp_shock,household_unsecured_credit_rate,target,land_temp_shock,0,"l(target_land_temp_shock_resid, 1)",0.00535361265748933,0.0022968158419130495,2.330884592397374,0.024299394667235186
household_unsecured_credit_rate__target__land_temp_shock,household_unsecured_credit_rate,target,land_temp_shock,0,"l(target_land_temp_shock_resid, 2)",0.004392082274404735,0.001299834413647892,3.378955217902465,0.0015112585105522545
household_unsecured_credit_rate__target__land_temp_shock,household_unsecured_credit_rate,target,land_temp_shock,0,as.numeric(date),4.033880743738018e-5,3.777319320346752e-5,1.0679215606711572,0.291251540989098
household_unsecured_credit_rate__target__land_temp_shock,household_unsecured_credit_rate,target,land_temp_shock,0,land_temp_shock:target_land_temp_shock_resid,-0.008957584084326686,0.0042627998174659,-2.1013381974037166,0.04124278548765159
household_unsecured_credit_rate__target__land_temp_shock,household_unsecured_credit_rate,target,land_temp_shock,1,land_temp_shock,0.02256999774140119,0.08888886379032696,0.25391254628521076,0.8007197310213313
